Nom Blog,Pays,Région,Ville,Adresse Email,Site web,Abonnées Facebook,Abonnées Twitter,Abonnées Instagram
CapitalBop,USA,District of Columbia,Washington,capitalbop@exemple.com,capitalbop.com,3300,3500,3100
bebop spoken here,USA,none,none,bebop_spoken_here@exemple.com,lance-bebopspokenh..,0,624,0
Marlbank Jazz Blog,none,none,none,marlbank_jazz_blog@exemple.com,marlbank.net,0,0,0
Jazz Profiles,none,none,none,jazz_profiles@exemple.com,jazzprofiles.blogs..,0,0,0
UK Vibe,UK,none,none,uk_vibe@exemple.com,ukvibe.org,0,0,0
TheJazzWorld,USA,Nevada,Las Vegas,thejazzworld@exemple.com,thejazzworld.com/blog,115,0,262
Coastal Jazz & Blues Society Blog,Canada,British Columbia,Vancouver,coastal_jazz_and_blues_society_blog@exemple.com,coastaljazz.ca/blog,10700,12200,5800
Polish-Jazz,Poland ,none,none,polish-jazz@exemple.com,polish-jazz.blogsp..,0,0,0
Jazzfuel,none,none,none,jazzfuel@exemple.com,jazzfuel.com/jazz-..,5200,5900,1500
Vortex Jazz Club,UK,none,England,vortex_jazz_club@exemple.com,vortexjazz.co.uk/news,7900,25400,0
Open Sky Jazz,USA,Maryland,Rockville,open_sky_jazz@exemple.com,openskyjazz.com,0,1600,0
Learn Jazz Standards ,USA,none,New York,learn_jazz_standards@exemple.com,learnjazzstandards..,28600,1300,16400
The Blue Moment » Jazz ,UK,England,London,the_blue_moment__jazz@exemple.com,thebluemoment.com/..,0,25800,0
Debbie Burke ,USA,New York,New York City,debbie_burke@exemple.com,debbieburkeauthor.com,578,2100,0
Jazz Aspen Snowmass,USA,Colorado,Aspen,jazz_aspen_snowmass@exemple.com,jazzaspensnowmass...,20000,4100,8000
SimplyJazzTalk Blog,UK,none,England,simplyjazztalk_blog@exemple.com,simplyjazztalk.blog,15,2300,0
WZUM Jazz Pittsburgh,USA,Pennsylvania,Pittsburgh,wzum_jazz_pittsburgh@exemple.com,wzum.org/jazz-blog,0,373,685
Jazz Journalists Association ,USA,New York,New York City,jazz_journalists_association@exemple.com,news.jazzjournalis..,0,7000,0
Stringspace Blog,Australia,none,none,stringspace_blog@exemple.com,stringspace.com.au..,5300,164,2400
Jazz guitar Licks Blog,France,none,none,jazz_guitar_licks_blog@exemple.com,jazz-guitar-licks...,43000,914,111600
Four on the Floor,Canada,Alberta,Calgary,four_on_the_floor@exemple.com,jonmccaslinjazzdru..,997,939,921
Jazz24,USA,Washington,Seattle,jazz24@exemple.com,jazz24.org/categor..,6600,2100,3900
All That Philly Jazz,USA,Pennsylvania,Philadelphia,all_that_philly_jazz@exemple.com,phillyjazz.us,0,1400,0
Free Jazz Lessons Blog ,USA,Illinois,Chicago,free_jazz_lessons_blog@exemple.com,freejazzlessons.co..,3600,375,0
JazzTrail Blog ,USA,New York,New York City,jazztrail_blog@exemple.com,jazztrail.net/blog,1400,0,0
SomehowJazz,USA,none,California,somehowjazz@exemple.com,somehowjazz.com/blog,58100,749,312
Canberra Jazz blog,none,none,none,canberra_jazz_blog@exemple.com,canberrajazz.blogs..,0,0,0
Ausjazz Blog,Australia,Victoria,Melbourne,ausjazz_blog@exemple.com,ausjazz.net,772,367,0
Tokyo Jazz Site Blog,Japan,Kanagawa,Yokohama,tokyo_jazz_site_blog@exemple.com,tokyojazzsite.com/..,0,2700,0
Lancaster Jazz Blog ,UK,England,Lancaster,lancaster_jazz_blog@exemple.com,lancasterjazz.com/..,2100,2400,2100
JazzArts Charlotte Blog ,USA,North Carolina,Charlotte,jazzarts_charlotte_blog@exemple.com,thejazzarts.org/ne..,6600,1400,3400
Gapplegate Music Review,USA,New Jersey,Ridgefield Park,gapplegate_music_review@exemple.com,gapplegatemusicrev..,307,0,0
Clean Feed Records,Portugal,none,none,clean_feed_records@exemple.com,cleanfeed-records...,5500,0,0
Caravan Jazz,none,none,none,caravan_jazz@exemple.com,caravanjazz.es,0,3000,1200
Ellington Reflections,USA,California,Pasadena,ellington_reflections@exemple.com,ellingtonreflectio..,45,647,0
Decidedly Jazz Danceworks,Canada,Alberta,Calgary,decidedly_jazz_danceworks@exemple.com,decidedlyjazz.com/..,4800,0,7000
JazzZeitung Blog ,none,none,none,jazzzeitung_blog@exemple.com,jazzzeitung.de/cms..,2100,0,48400
Sun Prairie Band Boosters » Jazz ,none,none,none,sun_prairie_band_boosters__jazz@exemple.com,spbb.org/jazz-news,0,0,0
Brilliant Corners,USA,Massachusetts,Boston,brilliant_corners@exemple.com,brilliantcornersab..,0,1300,0
Uncle Paul's Jazz Closet,none,none,none,uncle_paul's_jazz_closet@exemple.com,jazzcloset.blogspo..,677,0,0
Jazz Workshop Australia,Australia,New South Wales,Sydney,jazz_workshop_australia@exemple.com,jazzworkshopaustra..,2600,17,0
Neon Jazz,USA,Missouri,Kansas City,neon_jazz@exemple.com,theneonjazz.blogsp..,235,0,0
Locavore Jazz - Peter's Blog,none,none,none,locavore_jazz_-_peter's_blog@exemple.com,locavorejazz.weebl..,0,0,0
Jazz Promotion Network Blog ,none,none,none,jazz_promotion_network_blog@exemple.com,jazzpromotionnetwo..,583,1800,0
Jazz | The Music of Unemployment,USA,Oregon,Portland,jazz__the_music_of_unemployment@exemple.com,uglyrug.blogspot.com,0,1100,0
Jazz from Geoff,UK,none,none,jazz_from_geoff@exemple.com,jazzfromgeoff.blog..,0,0,0
JazzLocal32.com,New Zealand,none,Auckland,jazzlocal32com@exemple.com,jazzlocal32.com/au..,0,53,0
Best of Jazz,none,none,none,best_of_jazz@exemple.com,bestofjazz.org,0,528,0
Hartford Jazz Society Blog,USA,Connecticut,Hartford,hartford_jazz_society_blog@exemple.com,hartfordjazzsociet..,5100,116,0
Splash Point Music Blog,UK,England,Seaford,splash_point_music_blog@exemple.com,splashpointmusic.c..,697,383,619
Georgiana,Romania,none,none,iogecor02@gmail.com,none,0,0,0
Valentin,France,none,none,valentinbarthel17@gmail.com,none,0,0,0
